,rank,count
the,1,
time,2,55.0
one,3,72.0
more,4,65.0
also,5,42.0
ordered,6,49.0
what,7,53.0
it,8,
much,9,41.0
only,10,50.0
seoul,11,2.0
we,12,
get,13,48.0
up,14,44.0
did,15,61.0
service,16,65.0
taco,17,66.0
price,18,53.0
been,19,34.0
taste,20,71.0
better,21,50.0
ve,22,3.0
even,23,45.0
mexican,24,3.0
again,25,33.0
they,26,
go,27,47.0
them,28,25.0
take,29,19.0
order,30,53.0
two,31,25.0
quite,32,30.0
cheese,33,34.0
this,34,
me,35,39.0
people,36,30.0
day,37,19.0
bit,38,30.0
there,39,
table,40,36.0
