,rank,count
the,1,
seoul,2,29.0
taco,3,1111.0
it,4,
more,5,245.0
time,6,456.0
one,7,347.0
we,8,
pork,9,528.0
gusto,10,14.0
go,11,338.0
owner,12,591.0
up,13,229.0
first,14,188.0
best,15,431.0
only,16,200.0
also,17,341.0
great,18,657.0
well,19,284.0
made,20,230.0
mexican,21,43.0
me,22,281.0
way,23,116.0
even,24,220.0
korean,25,
get,26,248.0
korea,27,17.0
taste,28,234.0
back,29,287.0
our,30,384.0
could,31,129.0
sauce,32,143.0
order,33,172.0
find,34,212.0
meat,35,217.0
staff,36,365.0
try,37,280.0
most,38,127.0
meal,39,208.0
service,40,383.0
