,Unnamed: 0,rank,count,from,count_per
0,소스,1,6,score 1,0.025
1,아쉽다,2,8,score 1,0.03333333333333333
2,주문,3,5,score 1,0.020833333333333332
3,이렇다,4,6,score 1,0.025
4,알다,5,6,score 1,0.025
5,넣다,6,5,score 1,0.020833333333333332
6,기억,7,6,score 1,0.025
7,껍질,8,4,score 1,0.016666666666666666
8,예약,9,4,score 1,0.016666666666666666
9,까지,10,6,score 1,0.025
10,이라고는,11,2,score 1,0.008333333333333333
11,아내,12,2,score 1,0.008333333333333333
12,어울리다,13,2,score 1,0.008333333333333333
13,지금,14,2,score 1,0.008333333333333333
14,되어다,15,2,score 1,0.008333333333333333
15,방법,16,2,score 1,0.008333333333333333
16,다양하다,17,2,score 1,0.008333333333333333
17,이집,18,8,score 1,0.03333333333333333
18,많다,19,7,score 1,0.029166666666666667
19,퍽퍽,20,3,score 1,0.0125
20,게다가,21,5,score 1,0.020833333333333332
21,평범하다,22,5,score 1,0.020833333333333332
22,인데,23,8,score 1,0.03333333333333333
23,리뷰,24,5,score 1,0.020833333333333332
24,없다,25,17,score 1,0.07083333333333333
25,정말,26,13,score 1,0.05416666666666667
26,괜찮다,27,9,score 1,0.0375
27,레스토랑,28,7,score 1,0.029166666666666667
28,와인,29,5,score 1,0.020833333333333332
29,같다,30,17,score 1,0.07083333333333333
30,들다,31,6,score 1,0.025
31,만의,32,4,score 1,0.016666666666666666
32,주다,33,10,score 1,0.041666666666666664
33,자다,34,7,score 1,0.029166666666666667
34,가다,35,10,score 1,0.041666666666666664
35,스타일,36,5,score 1,0.020833333333333332
36,분위기,37,4,score 1,0.016666666666666666
37,때문,38,3,score 1,0.0125
38,가족,39,5,score 1,0.020833333333333332
39,저녁,40,7,score 1,0.029166666666666667
40,나오다,1,27,score 3,0.0764872521246459
41,살짝,2,10,score 3,0.028328611898016998
42,자다,3,15,score 3,0.042492917847025496
43,생각,4,13,score 3,0.036827195467422094
44,방문,5,19,score 3,0.053824362606232294
45,없다,6,17,score 3,0.04815864022662889
46,메뉴,7,10,score 3,0.028328611898016998
47,같다,8,17,score 3,0.04815864022662889
48,아쉽다,9,13,score 3,0.036827195467422094
49,사실,10,5,score 3,0.014164305949008499
50,많다,11,8,score 3,0.0226628895184136
51,알다,12,4,score 3,0.0113314447592068
52,모르다,13,6,score 3,0.0169971671388102
53,파스타,14,13,score 3,0.036827195467422094
54,주문,15,16,score 3,0.0453257790368272
55,요리,16,22,score 3,0.06232294617563739
56,음식,17,15,score 3,0.042492917847025496
57,트러플,18,9,score 3,0.025495750708215296
58,좋아하다,19,8,score 3,0.0226628895184136
59,인데,20,5,score 3,0.014164305949008499
60,아뮤즈,21,4,score 3,0.0113314447592068
61,들다,22,12,score 3,0.0339943342776204
62,레스토랑,23,4,score 3,0.0113314447592068
63,디저트,24,11,score 3,0.031161473087818695
64,크다,25,5,score 3,0.014164305949008499
65,익히다,26,4,score 3,0.0113314447592068
66,따다,27,4,score 3,0.0113314447592068
67,조금,28,9,score 3,0.025495750708215296
68,만들다,29,2,score 3,0.0056657223796034
69,감흥,30,2,score 3,0.0056657223796034
70,버섯,31,4,score 3,0.0113314447592068
71,당연하다,32,2,score 3,0.0056657223796034
72,작다,33,3,score 3,0.0084985835694051
73,감다,34,4,score 3,0.0113314447592068
74,올리다,35,6,score 3,0.0169971671388102
75,식감,36,8,score 3,0.0226628895184136
76,유명하다,37,3,score 3,0.0084985835694051
77,차다,38,4,score 3,0.0113314447592068
78,랍스터,39,3,score 3,0.0084985835694051
79,역시,40,7,score 3,0.019830028328611898
80,메뉴,1,198,score 5,0.049798792756539235
81,없다,2,184,score 5,0.04627766599597585
82,같다,3,191,score 5,0.04803822937625755
83,자다,4,140,score 5,0.035211267605633804
84,나오다,5,184,score 5,0.04627766599597585
85,싶다,6,122,score 5,0.0306841046277666
86,들다,7,112,score 5,0.028169014084507043
87,소스,8,118,score 5,0.029678068410462777
88,느낌,9,125,score 5,0.031438631790744465
89,재료,10,84,score 5,0.02112676056338028
90,주문,11,89,score 5,0.02238430583501006
91,정도,12,94,score 5,0.023641851106639838
92,되어다,13,59,score 5,0.014839034205231388
93,느끼다,14,54,score 5,0.01358148893360161
94,방문,15,142,score 5,0.03571428571428571
95,만들다,16,50,score 5,0.012575452716297788
96,버터,17,56,score 5,0.014084507042253521
97,인데,18,75,score 5,0.01886317907444668
98,생각,19,95,score 5,0.023893360160965795
99,좋아하다,20,85,score 5,0.02137826961770624
100,가다,21,142,score 5,0.03571428571428571
101,하나,22,143,score 5,0.03596579476861167
102,까지,23,91,score 5,0.022887323943661973
103,요리,24,164,score 5,0.04124748490945674
104,음식,25,122,score 5,0.0306841046277666
105,차다,26,33,score 5,0.00829979879275654
106,새우,27,70,score 5,0.017605633802816902
107,살짝,28,59,score 5,0.014839034205231388
108,식감,29,59,score 5,0.014839034205231388
109,아주,30,70,score 5,0.017605633802816902
110,주다,31,54,score 5,0.01358148893360161
111,오다,32,102,score 5,0.025653923541247486
112,부드럽다,33,75,score 5,0.01886317907444668
113,고구마,34,34,score 5,0.008551307847082495
114,가격,35,102,score 5,0.025653923541247486
115,시키다,36,109,score 5,0.027414486921529174
116,추천,37,100,score 5,0.025150905432595575
117,식당,38,56,score 5,0.014084507042253521
118,들어가다,39,62,score 5,0.015593561368209255
119,샐러드,40,72,score 5,0.018108651911468814
