본인이 관심있는 장르는 무엇입니까? (복수 응답),a1. 너무 싸서 품질이 의심스러운 가격은 얼마부터 입니까? [가격],a2. 싸다고 느끼기 시작하는 가격은 얼마부터 입니까? (본인이 생각하기에 괜찮은 가격) [가격],a3. 비싸다고 느끼기 시작하는 가격은 얼마부터 입니까? (비싸다고 생각하지만 아직 살만한 가격) [가격],a4. 아무리 품질이 좋더라도 너무 비싸서 살 수 없는 가격은 얼마부터 입니까? [가격],b1. 너무 싸서 품질이 의심스러운 가격은 얼마부터 입니까? [가격],b2. 싸다고 느끼기 시작하는 가격은 얼마부터 입니까? (본인이 생각하기에 괜찮은 가격) [가격],b3. 비싸다고 느끼기 시작하는 가격은 얼마부터 입니까? (비싸다고 생각하지만 아직 살만한 가격) [가격],b4. 아무리 품질이 좋더라도 너무 비싸서 살 수 없는 가격은 얼마부터 입니까? [가격],c1. 너무 싸서 품질이 의심스러운 가격은 얼마부터 입니까? [가격],c2. 싸다고 느끼기 시작하는 가격은 얼마부터 입니까? (본인이 생각하기에 괜찮은 가격) [가격],c3. 비싸다고 느끼기 시작하는 가격은 얼마부터 입니까? (비싸다고 생각하지만 아직 살만한 가격) [가격],c4. 아무리 품질이 좋더라도 너무 비싸서 살 수 없는 가격은 얼마부터 입니까? [가격],d1. 너무 싸서 품질이 의심스러운 가격은 얼마부터 입니까? [가격],d2. 싸다고 느끼기 시작하는 가격은 얼마부터 입니까? (본인이 생각하기에 괜찮은 가격) [가격],d3. 비싸다고 느끼기 시작하는 가격은 얼마부터 입니까? (비싸다고 생각하지만 아직 살만한 가격) [가격],d4. 아무리 품질이 좋더라도 너무 비싸서 살 수 없는 가격은 얼마부터 입니까? [가격],위 네개의 OTT 서비스중에 가장 사용하고싶은 서비스 하나를 골라주세요,OTT 서비스에 관해서 하고싶은 말씀이 있으시면 간략하게 적어주세요. (본인이 원하는 형태의 OTT 서비스 등)
국내 드라마,5000 원,5500 월,7000 원,13000 원,5000 원,5500 월,7500 원,13000 원,5000 원,5500 월,10500 원,5500 월,5000 원,5500 월,13000 원,5500 월,Youtube Premium (유튜브 프리미엄),
음악,5000 원,5500 월,7500 원,9000 원,5000 원,5000 원,7500 원,9000 원,5000 원,5000 원,7500 원,9000 원,5000 원,5000 원,7500 원,9000 원,Youtube Premium (유튜브 프리미엄),
음악,5500 월,6000 원,8000 원,10000 원,5500 월,6000 원,8000 원,10000 원,5500 월,6000 원,8000 원,10000 원,5500 월,6000 원,8000 원,10000 원,Youtube Premium (유튜브 프리미엄),
국내 드라마;국내 영화,5000 원,5000 원,5000 원,10500 원,5000 원,5000 원,6500 원,12000 원,5000 원,5000 원,8000 원,10500 원,5000 원,5000 원,10500 원,12000 원,Netflix (넷플릭스),
국내 드라마;해외 영화,5000 원,5500 월,7500 원,8500 원,5000 원,7000 원,7500 원,8500 원,5000 원,5500 월,7500 원,8500 원,5000 원,7000 원,7500 원,8500 원,Youtube Premium (유튜브 프리미엄),
국내 예능;국내 영화,5000 원,6000 원,6500 원,8000 원,5000 원,6000 원,6500 원,8000 원,5000 원,6000 원,6500 원,8000 원,5000 원,6000 원,6500 원,8000 원,Netflix (넷플릭스),
해외 드라마,5000 원,6000 원,6000 원,6500 원,5000 원,5500 월,6000 원,6500 원,5000 원,5500 월,6000 원,6500 원,5000 원,5500 월,6000 원,6500 원,Wavve (웨이브),
국내 영화;해외 영화,7000 원,8000 원,12000 원,13000 원,7000 원,8000 원,11000 원,13000 원,8000 원,11000 원,13000 원,13000 원,7000 원,8000 원,10000 원,11000 원,Netflix (넷플릭스),
국내 드라마;국내 예능;국내 영화;해외 영화,5000 원,5000 원,6000 원,6500 원,5000 원,5000 원,6000 원,6500 원,5000 원,5000 원,6000 원,5000 원,5000 원,5000 원,5000 원,5000 원,Netflix (넷플릭스),
국내 영화,5000 원,5000 원,5500 월,5500 월,5000 원,5000 원,5500 월,6500 원,5000 원,5000 원,6000 원,6500 원,5000 원,5500 월,6000 원,5000 원,Netflix (넷플릭스),가격이 굉장히 저렴했으면 함
국내 드라마;국내 예능;국내 영화;해외 드라마;해외 영화,5000 원,5500 월,7000 원,10000 원,5000 원,5500 월,7000 원,8500 원,5000 원,5000 원,6000 원,7000 원,5000 원,5000 원,5500 월,6000 원,Netflix (넷플릭스),OTT 너무좋은데 비싸요
국내 드라마;국내 영화;해외 드라마;해외 영화,5000 원,7000 원,9000 원,13000 원,5000 원,7000 원,8000 원,11000 원,5000 원,5000 원,8000 원,8500 원,5000 원,6000 원,9000 원,10000 원,Netflix (넷플릭스),
해외 영화,5000 원,5000 원,5000 원,5000 원,5000 원,5000 원,5000 원,5000 원,5000 원,5000 원,5000 원,5000 원,5000 원,5000 원,5000 원,5000 원,Netflix (넷플릭스),
국내 예능;해외 영화,5000 원,5500 월,7500 원,8500 원,5000 원,5500 월,6500 원,7500 원,5000 원,5500 월,8000 원,10000 원,5000 원,5000 원,5500 월,7000 원,Youtube Premium (유튜브 프리미엄),
국내 예능;국내 영화;해외 영화,6000 원,7000 원,10500 원,12000 원,6000 원,7000 원,10500 원,12000 원,6000 원,7000 원,10500 원,12000 원,6000 원,7000 원,10500 원,12000 원,Netflix (넷플릭스),보규야 항상 행복해야 돼 종규를 만나서 고생이 많아
해외 영화,5000 원,6000 원,9000 원,12000 원,5500 월,6000 원,10000 원,12000 원,5000 원,6500 원,9000 원,12000 원,5000 원,6000 원,5500 월,12000 원,Youtube Premium (유튜브 프리미엄),
국내 영화;해외 영화,5000 원,6000 원,8000 원,10000 원,5000 원,7000 원,5000 원,5500 월,5500 월,6000 원,5500 월,6000 원,6000 원,5000 원,6000 원,6500 원,Netflix (넷플릭스),
국내 드라마;국내 예능;국내 영화,5000 원,7000 원,12000 원,13000 원,5000 원,6000 원,12000 원,13000 원,5000 원,5000 원,10000 원,13000 원,5000 원,5000 원,10000 원,13000 원,Youtube Premium (유튜브 프리미엄),
