,Unnamed: 0,mea_ddhr,tem_in,hum_in,tem_coil,tem_out,hum_out,cond,loc,time_period,tem_diff,ran
90,90,2016-04-12 9:00,16.0,73.0,13.0,15.0,47.0,0.0,1,2016-04-12 09:00:00,3.0,True
91,91,2016-04-12 12:00,18.0,78.0,14.0,16.0,42.0,1.0,1,2016-04-12 12:00:00,4.0,True
92,92,2016-04-12 15:00,19.0,73.0,16.0,18.0,40.0,0.0,1,2016-04-12 15:00:00,3.0,True
119,119,2016-04-16 0:00,17.0,80.0,14.0,11.0,68.0,1.0,1,2016-04-16 00:00:00,3.0,True
155,155,2016-04-20 12:00,17.0,75.0,14.0,18.0,39.0,0.0,1,2016-04-20 12:00:00,3.0,True
240,240,2016-05-01 3:00,21.0,80.0,18.0,15.0,44.0,1.0,1,2016-05-01 03:00:00,3.0,True
241,241,2016-05-01 6:00,21.0,82.0,19.0,15.0,43.0,0.0,1,2016-05-01 06:00:00,2.0,True
256,256,2016-05-03 3:00,21.0,80.0,18.0,19.0,79.0,1.0,1,2016-05-03 03:00:00,3.0,True
257,257,2016-05-03 6:00,21.0,82.0,19.0,19.0,84.0,0.0,1,2016-05-03 06:00:00,2.0,True
576,576,2016-06-12 3:00,26.0,83.0,25.0,24.0,84.0,0.0,1,2016-06-12 03:00:00,1.0,True
577,577,2016-06-12 6:00,26.0,84.0,25.0,23.0,86.0,0.0,1,2016-06-12 06:00:00,1.0,True
607,607,2016-06-16 0:00,24.0,78.0,19.0,22.0,82.0,1.0,1,2016-06-16 00:00:00,5.0,True
608,608,2016-06-16 3:00,23.0,76.0,19.0,22.0,83.0,1.0,1,2016-06-16 03:00:00,4.0,True
609,609,2016-06-16 6:00,23.0,74.0,19.0,22.0,84.0,1.0,1,2016-06-16 06:00:00,4.0,True
761,761,2016-07-05 6:00,26.91,80.22,25.93,25.11,86.97,0.0,1,2016-07-05 06:00:00,0.9800000000000004,True
763,763,2016-07-05 12:00,27.52,82.6,26.51,26.09,84.89,0.0,1,2016-07-05 12:00:00,1.009999999999998,True
764,764,2016-07-05 15:00,27.8,82.17,26.58,26.91,83.79,0.0,1,2016-07-05 15:00:00,1.2200000000000024,True
765,765,2016-07-05 18:00,27.61,81.68,26.89,25.14,86.23,0.0,1,2016-07-05 18:00:00,0.7199999999999989,True
1474,1474,2016-10-03 0:00,23.49,82.36,22.81,22.24,87.24,0.0,1,2016-10-03 00:00:00,0.6799999999999997,True
1475,1475,2016-10-03 3:00,24.99,83.67,23.34,24.19,82.51,0.0,1,2016-10-03 03:00:00,1.6499999999999986,True
1476,1476,2016-10-03 6:00,24.87,81.07,23.26,22.52,85.41,0.0,1,2016-10-03 06:00:00,1.6099999999999994,True
1823,1823,2016-11-19 15:00,15.98,78.75,14.3,13.72,83.85,0.0,1,2016-11-19 15:00:00,1.6799999999999995,True
1824,1824,2016-11-19 18:00,16.29,78.94,14.45,14.55,82.33,0.0,1,2016-11-19 18:00:00,1.84,True
1825,1825,2016-11-19 21:00,16.38,79.58,14.6,14.61,84.98,0.0,1,2016-11-19 21:00:00,1.7799999999999994,True
2081,2081,2016-12-21 21:00,12.75,79.0,10.71,10.4,90.45,0.0,1,2016-12-21 21:00:00,2.039999999999999,True
2082,2082,2016-12-22 0:00,13.24,81.62,10.86,11.53,92.64,1.0,1,2016-12-22 00:00:00,2.380000000000001,True
2083,2083,2016-12-22 3:00,14.09,87.76,11.51,12.99,90.35,1.0,1,2016-12-22 03:00:00,2.58,True
2869,2869,2017-01-27 2:00,7.01,78.79,4.26,4.96,82.3,1.0,1,2017-01-27 02:00:00,2.75,True
3357,3357,2017-02-16 16:00,11.43,64.74,6.32,11.59,60.23,0.0,1,2017-02-16 16:00:00,5.1099999999999985,True
3358,3358,2017-02-16 17:00,11.59,65.32,6.36,11.56,63.43,0.0,1,2017-02-16 17:00:00,5.23,True
3359,3359,2017-02-16 18:00,11.62,68.01,6.05,12.2,68.25,1.0,1,2017-02-16 18:00:00,5.5699999999999985,True
3360,3360,2017-02-16 19:00,11.62,72.99,6.09,11.98,72.22,1.0,1,2017-02-16 19:00:00,5.5299999999999985,True
3361,3361,2017-02-16 20:00,11.83,74.66,6.02,11.59,75.4,1.0,1,2017-02-16 20:00:00,5.8100000000000005,True
3362,3362,2017-02-16 21:00,11.8,76.28,6.17,11.16,78.72,1.0,1,2017-02-16 21:00:00,5.630000000000001,True
